STUDY_ID	SAMPLE_ID	SNORD116-2	CASR	BEX1	MYH8	SPON1	FABP4	SLITRK5	SNORD116-24	CBLN2	DGKK	RGS7	SHISA6	SNAR-A2	SNORD29	MYADML	VENTXP7	SNORA64	SNORD52	SNORD36C	SNORD86	LYPD4	SPAG11A	SNAR-A13	SNORD48	SORCS3	SERPINB2	BNC1	DIPK1C	PCP4	RORB	HPCAL4	FGF7	ROS1	SLC6A17	SCG2	KCND2	PPP1R14D	AVP	EPS8L3	S100A1	RIIAD1	CAPSL	PLA2G1B	TUBA4B	NPB	F12	HIST1H2AM	DEFB1	XIST	TCEAL2	SLITRK6	DEFA4	SORCS1	CHRNA4	ABCG8	SLC17A8	CD5L	TRIM63	DPEP1	HOXC12	POF1B	TMEM179	SNORD116-14	KCTD8	C16ORF78	PRSS12	SNORD116-3	TTTY4C	MYH4	CATSPERZ	LCN10	USH1G	RLN1	MAS1L	EPHA7	STARD6	PNMT	NTRK2	LOC100130238	FBXL21P	FOXP2	NXF2	KCNJ1	SCRT1	SNORD116-15	MS4A3	OR51B4	NMRK2	GAL3ST3	MYMK	PLPPR5	GALNT9	UBE2QL1	KCNK3	PCDHB1	CXADRP3	LRRTM3
kirc_CG	CG-B0-5698-01	NA	-0.1846	1.0774	-0.3371	-0.6924	-0.3928	-0.5263	NA	-0.302	-0.6173	-0.2393	-0.1344	NA	NA	NA	NA	NA	NA	NA	NA	-0.0614	-0.1699	NA	NA	-0.6041	0.4972	-0.1966	-0.1969	-0.1423	-0.0939	-0.0585	-0.4006	-0.076	-0.5167	-0.2687	-0.265	-0.344	-0.301	-0.3826	0.0239	0.4543	-0.4452	0.0087	-0.3972	-0.2658	-0.2159	-0.8106	-0.1475	-0.5621	-0.2149	-0.2768	-0.1889	-0.3618	-0.1185	-0.2325	-0.1935	-0.3756	-0.0999	0.3924	-0.4967	-0.5035	0.1584	NA	-0.2796	-0.2501	-0.0633	NA	NA	-0.2755	-0.2309	-0.0533	0.6466	1.6955	-0.5596	-0.6724	-0.4308	-0.0803	-0.7818	NA	-0.128	0.005	-0.0692	-0.217	-0.0686	NA	-0.1893	-0.4649	-0.0834	-0.1869	-0.2581	-0.6176	-0.0645	-0.375	-0.5969	-0.3519	-0.4425	-0.4822
kirc_CG	CG-B0-5710-01	NA	-0.296	-0.3945	-0.3371	-0.6209	0.0998	-0.5013	NA	4.2649	0.4548	0.8915	-0.4898	NA	NA	NA	NA	NA	NA	NA	NA	-0.0614	-0.1699	NA	NA	-0.6138	-0.2532	-0.1829	-0.2306	-0.1399	-0.1381	-0.1338	-0.4167	-0.076	-0.3163	0.226	-0.2496	-0.2568	0.0707	-0.3067	0.1132	-0.414	-0.4452	-0.6614	-0.5031	0.0587	-0.2381	-0.2689	-0.1284	-0.5619	-0.2753	-0.2635	-0.1889	-0.3799	-0.1398	-0.2325	-0.1935	-0.2363	-0.0994	-0.1366	0.3993	-0.4847	-0.4238	NA	0.2561	-0.2501	-0.3032	NA	NA	-0.2755	-0.2309	-0.1827	0.6155	0.6517	-0.5596	-0.449	-0.4308	0.0242	0.4743	NA	1.1516	1.3319	-0.0692	-0.2353	-0.0631	NA	-0.1893	-0.4649	-0.0834	-0.1871	-0.2581	-0.3625	-0.021	-0.2683	-0.6789	-0.2261	-0.0349	-0.4822
kirc_CG	CG-B0-5711-01	NA	-0.3062	-0.1172	-0.3371	0.2032	-0.2344	0.1684	NA	0.0164	1.8246	-0.3062	-0.3022	NA	NA	NA	NA	NA	NA	NA	NA	-0.0614	-0.1699	NA	NA	-0.5503	-0.2532	-0.1615	-0.2227	-0.1413	-0.1819	-0.3344	-0.3894	-0.076	-0.2081	-0.2377	-0.232	-0.3838	-0.301	-0.3664	0.1036	-0.414	-0.4452	-0.1627	-0.3092	-0.2589	-0.2419	-0.605	-0.2445	-0.5619	-0.2802	-0.1859	-0.1889	-0.3705	-0.1469	-0.2325	-0.1778	-0.3732	-0.0997	0.5532	1.0338	-0.4741	-0.3826	NA	-0.1489	-0.2501	0.0014	NA	NA	-0.2755	-0.2163	-0.2011	-0.402	0.1068	-0.1762	0.2496	-0.4308	-0.2209	0.5432	NA	2.3841	1.7196	-0.0692	-0.2379	-0.0639	NA	-0.1032	-0.4649	-0.0832	-0.212	-0.2581	-0.6835	-0.5904	-0.3993	-0.6913	0.0778	0.2538	-0.4822
kirc_CG	CG-B0-5712-01	NA	-0.327	-0.159	-0.3371	-0.6963	-0.1938	1.2913	NA	-0.302	-0.6173	8.6926	-0.4933	NA	NA	NA	NA	NA	NA	NA	NA	-0.0614	-0.1699	NA	NA	-0.6121	-0.2532	-0.1844	-0.2218	-0.1381	-0.1819	0.0071	-0.3488	-0.076	-0.5484	-0.2455	0.1076	-0.0756	-0.301	-0.3703	1.1998	-0.2212	11.3151	-0.4382	0.7811	-0.2779	-0.0273	0.8003	-0.2678	0.3584	-0.0849	-0.2709	-0.1889	5.2539	-0.0902	-0.2325	4.11	-0.3654	-0.0994	-0.4427	-0.4967	-0.5169	-0.2514	NA	-0.1431	-0.2501	-0.1596	NA	NA	-0.2755	-0.1748	0.7863	3.8583	-0.4548	-0.5596	1.1705	-0.4308	-0.1584	-0.7187	NA	8.0629	-0.6674	-0.0692	-0.2359	-0.0637	NA	-0.1893	0.1893	-0.0834	-0.1141	1.5261	-0.7062	-0.3973	-0.339	-0.578	-0.3519	-0.4425	-0.4822
kirc_CG	CG-B0-5713-01	NA	-0.313	-0.3992	-0.3371	1.281	0.9452	-0.1218	NA	-0.253	-0.6173	-0.3062	-0.3696	NA	NA	NA	NA	NA	NA	NA	NA	-0.0614	-0.1699	NA	NA	-0.6099	-0.2532	-0.1966	-0.2329	-0.1423	-0.1819	-0.3558	-0.4426	-0.0718	-0.136	-0.2764	-0.2284	-0.0457	-0.301	-0.2709	-0.4391	-0.414	-0.4452	-0.2003	-0.0346	-0.3532	-0.1868	-0.573	-0.2367	0.6022	-0.2805	-0.2768	-0.1889	-0.386	-0.1469	-0.202	-0.1357	0.3898	-0.0986	-0.4632	-0.4967	1.4559	-0.3093	NA	0.9894	-0.2501	-0.4599	NA	NA	-0.2755	-0.2226	-0.1804	-0.3616	0.0181	-0.5596	-0.0088	-0.4308	-0.2209	-0.2272	NA	-0.3876	-0.8343	-0.0692	-0.2347	-0.0642	NA	-0.1893	0.1143	-0.0834	-0.1705	0.1368	-0.4372	0.2065	-0.2368	0.2235	-0.2526	-0.1206	-0.4822
kirc_CG	CG-B0-5812-01	NA	-0.0254	-0.138	-0.326	-0.4054	-0.1662	-0.2291	NA	3.2626	0.7966	-0.2249	-0.4711	NA	NA	NA	NA	NA	NA	NA	NA	-0.0614	-0.1699	NA	NA	0.0618	-0.1793	-0.1641	-0.1091	-0.1395	-0.1819	-0.0386	-0.0984	-0.0592	-0.2939	1.7465	-0.1549	-0.3012	-0.301	-0.3689	-0.6727	-0.414	-0.4452	-0.2654	-0.5388	-0.3746	-0.2416	-0.2391	-0.239	-0.5619	-0.199	-0.061	-0.1889	0.3185	-0.1413	-0.2325	-0.1645	-0.3756	-0.0992	-0.3058	0.2124	-0.4614	-0.4238	NA	-0.098	-0.2501	0.3031	NA	NA	-0.2755	-0.2216	-0.1886	-0.3826	0.0204	-0.2043	-0.1568	-0.4308	-0.1378	-0.1134	NA	-0.6112	-0.736	-0.0277	-0.0805	-0.0686	NA	0.0501	-0.4649	-0.0834	-0.1445	0.1376	-0.6813	-0.7237	-0.1103	-0.8302	-0.1528	0.5252	0.4956
kirc_CG	CG-B4-5832-01	NA	-0.327	-0.3911	-0.3371	-0.6799	-0.4235	-0.307	NA	-0.302	-0.0007	-0.3015	-0.4109	NA	NA	NA	NA	NA	NA	NA	NA	-0.0614	-0.1699	NA	NA	0.5855	-0.1726	-0.1907	-0.2418	-0.1423	0.6876	-0.0153	0.5029	-0.076	-0.6116	0.2925	-0.1049	-0.0463	-0.301	-0.3826	-0.649	-0.414	2.1796	-0.6614	-0.5477	-0.3746	-0.2457	-0.7068	-0.2319	-0.562	-0.269	-0.1965	-0.1889	0.6417	-0.1469	-0.2325	2.4552	-0.3609	-0.0979	-0.4831	-0.4967	-0.4736	-0.4238	NA	-0.2796	-0.2501	-0.2972	NA	NA	-0.2755	-0.2309	-0.2011	-0.4248	0.1188	-0.5596	1.9108	-0.4308	-0.2209	-0.68	NA	3.7656	-0.8736	-0.0692	-0.2329	-0.0686	NA	-0.1893	-0.4649	-0.0834	-0.2306	-0.2581	0.5778	-0.7788	-0.3882	0.1779	-0.3519	0.2608	1.117
kirc_CG	CG-B4-5834-01	NA	-0.1277	2.89	-0.2344	0.5248	-0.3715	-0.2042	NA	0.0706	-0.3494	-0.3062	-0.4496	NA	NA	NA	NA	NA	NA	NA	NA	-0.0614	-0.1699	NA	NA	-0.0778	-0.2532	-0.1709	-0.1831	-0.1423	-0.1327	-0.3421	-0.4759	-0.076	-0.3549	-0.2308	-0.2593	-0.4257	-0.301	-0.3412	-0.6335	-0.0899	-0.4452	-0.4113	-0.5884	-0.2122	-0.2417	0.0467	-0.2018	-0.5621	6.6738	-0.2718	0.0754	0.1551	-0.0622	-0.2036	-0.1935	-0.3692	-0.0986	-0.3204	-0.4967	-0.4729	-0.3152	NA	0.4661	-0.2501	0.1177	NA	NA	-0.2755	0.0295	-0.0705	-0.0849	-0.5529	-0.2231	-0.3467	-0.4308	0.5403	-0.1465	NA	-0.6396	-0.3409	-0.0594	-0.1294	-0.0562	NA	-0.1137	-0.4649	-0.0834	-0.1164	-0.2581	-0.4029	0.2983	-0.1067	-0.714	1.1564	0.4741	-0.019
kirc_CG	CG-B4-5835-01	NA	-0.1922	-0.1898	-0.3362	2.2219	-0.42	-0.5815	NA	-0.2793	-0.0932	-0.2879	-0.4512	NA	NA	NA	NA	NA	NA	NA	NA	-0.0614	-0.1699	NA	NA	-0.613	-0.2532	1.8838	-0.2254	-0.1336	7.9143	-0.2892	-0.4471	-0.0721	-0.5769	-0.199	-0.2537	0.195	-0.301	-0.0576	-0.0874	0.6955	-0.3213	1.6628	-0.5183	0.3005	1.7709	7.8395	-0.1026	-0.0016	-0.0385	-0.2719	-0.1889	0.1345	-0.1417	0.1072	0.3425	-0.3693	1.9176	-0.0368	-0.4967	4.206	0.7807	NA	2.0769	-0.2501	1.9139	NA	NA	-0.2755	-0.1925	-0.1722	-0.3857	-0.8165	-0.5596	-0.9466	-0.4308	-0.0925	-0.7938	NA	0.448	0.4047	-0.0692	-0.1335	-0.0686	NA	-0.1893	-0.4649	0.2981	-0.1508	-0.2581	-0.1935	-0.7885	-0.4075	-0.9148	0.7546	-0.4425	-0.4822
kirc_CG	CG-B4-5836-01	NA	0.2401	-0.3954	-0.3361	1.7731	0.181	1.1338	NA	-0.2395	0.2454	-0.2772	0.1252	NA	NA	NA	NA	NA	NA	NA	NA	-0.0614	-0.1699	NA	NA	-0.4553	-0.2156	-0.1966	-0.2328	-0.1414	-0.1819	-0.3889	-0.4067	-0.076	-0.374	-0.2438	-0.2215	-0.3483	-0.301	-0.3826	0.0531	-0.24	-0.1732	-0.5943	-0.1223	0.0177	-0.1762	-0.4715	-0.2647	0.2042	-0.2631	-0.2661	-0.118	-0.3666	-0.1469	-0.1704	-0.1346	-0.1674	-0.0995	-0.4734	-0.4967	-0.4946	-0.3849	NA	-0.2796	-0.2501	-0.4642	NA	NA	-0.2755	-0.2191	-0.1905	-0.4248	0.0388	0.5241	0.6875	-0.4308	-0.1364	1.2569	NA	-0.5776	1.6238	-0.0164	-0.1893	-0.0686	NA	-0.027	-0.4649	-0.0834	-0.1693	-0.2581	1.1999	-0.2783	0.0217	0.6443	-0.3519	-0.4425	-0.4822
